,avg(pkt_len),stddev(pkt_len),fb_ratio,inter_arrival_time,pkt_count,duration,pkt_len,is_tcp,outcome
3044,827.9905288082083,331.71598451235326,-1.0,0.002779958925750399,1267,3.519428000000005,1049064.0,0,voip
1771,264.007804632427,399.06561059659117,-1.0,0.013207201460589294,3972,52.44579700000008,1048639.0,0,voip
315,150.5147058823529,305.65698717739133,1.1935483870967742,2.752743671641794,68,184.43382600000012,10235.0,1,voip
972,170.78571428571428,384.5393205005036,1.0,0.05899046153847218,14,0.7668760000001384,2391.0,1,voip
1324,170.78571428571428,384.5393205005036,1.0,0.020893230769231125,14,0.2716120000000046,2391.0,1,voip
1582,400.157894736842,604.5774707418851,0.9,0.04570755555555985,19,0.8227360000000772,7603.0,1,voip
1461,122.5,309.5594027154138,1.0,0.2059859999999985,22,4.325705999999968,2695.0,1,voip
1468,400.157894736842,604.5774707418851,0.9,0.08562094444445417,19,1.5411770000001752,7603.0,1,voip
782,170.78571428571428,384.5393205005036,1.0,0.06875223076923039,14,0.8937789999999949,2391.0,1,voip
3034,845.0282030620468,337.49400952018453,-1.0,0.0027364080645161304,1241,3.393146000000001,1048680.0,0,voip
31,127.4,240.04823589344613,1.0,0.16581422222222386,10,1.4923280000000148,1274.0,1,voip
960,20.0,-1.0,0.0,-1.0,1,0.2563999999999851,20.0,1,voip
534,126.2,240.60747194456687,1.0,0.0880141111111104,10,0.7921269999999936,1262.0,1,voip
1128,400.157894736842,595.732533493,0.9,0.01806705555555431,19,0.3252069999999776,7603.0,1,voip
87,69.7,81.7231777268712,1.0,3.380859333333332,10,30.42773399999999,697.0,1,voip
1183,170.78571428571428,384.5393205005036,1.0,0.011950538461541364,14,0.15535700000003771,2391.0,1,voip
2469,20.0,-1.0,0.0,-1.0,1,0.03918099999998503,20.0,1,voip
108,170.78571428571428,384.5393205005036,1.0,0.020703692307681473,14,0.2691479999998592,2391.0,1,voip
2069,170.78571428571428,384.5393205005036,1.0,0.015419615384615781,14,0.2004550000000052,2391.0,1,voip
2385,214.35714285714286,398.89748189002273,1.0,0.004003407407407377,28,0.1080919999999992,6002.0,1,voip
784,170.78571428571428,384.5393205005036,1.0,0.019277999999998813,14,0.25061399999998457,2391.0,1,voip
2272,231.9615384615384,429.0263843419638,1.3636363636363635,0.08202976000000035,26,2.050744000000009,6031.0,1,voip
2147,400.157894736842,595.732533493,0.9,0.014161555555555575,19,0.2549080000000004,7603.0,1,voip
2636,170.78571428571428,384.5393205005036,1.0,0.022200461538462744,14,0.2886060000000157,2391.0,1,voip
2836,600.0572082379862,399.2849592639748,-1.0,0.004178183171150572,1748,7.299286000000053,1048900.0,0,voip
613,170.78571428571428,384.5393205005036,1.0,0.023096692307682624,14,0.3002569999998741,2391.0,1,voip
1343,170.78571428571428,384.5393205005036,1.0,0.02137423076923229,14,0.2778650000000198,2391.0,1,voip
1794,30.44444444444445,4.2163702135578385,0.8,0.20768125000000026,9,1.661450000000002,274.0,0,voip
3027,842.8265060240964,331.6122805360684,-1.0,0.002719851286173619,1245,3.383494999999982,1049319.0,0,voip
1237,126.2,240.60747194456687,1.0,0.08806777777778052,10,0.7926100000000247,1262.0,1,voip
2240,170.78571428571428,384.5393205005036,1.0,0.014606538461538756,14,0.18988500000000386,2391.0,1,voip
1255,170.78571428571428,384.5393205005036,1.0,0.020394076923086958,14,0.26512300000013056,2391.0,1,voip
1766,300.5625536787861,427.61317358827637,-1.0,0.012850621134020652,3493,44.874369000000115,1049865.0,0,voip
562,400.157894736842,595.732533493,0.9,0.01819416666666661,19,0.327494999999999,7603.0,1,voip
2614,170.78571428571428,384.5393205005036,1.0,0.014341076923074068,14,0.1864339999999629,2391.0,1,voip
1792,123.0,-1.0,0.0,-1.0,1,0.028516999999993686,123.0,0,voip
337,69.7,81.7231777268712,1.0,3.3609988888888944,10,30.248990000000052,697.0,1,voip
91,170.78571428571428,384.5393205005036,1.0,0.0204540769230754,14,0.26590299999998024,2391.0,1,voip
2103,400.157894736842,595.732533493,0.9,0.016957388888888158,19,0.305232999999987,7603.0,1,voip
494,170.78571428571428,384.5393205005036,1.0,0.054485846153848064,14,0.7083160000000248,2391.0,1,voip
2613,170.78571428571428,384.5393205005036,1.0,0.016469769230768018,14,0.21410699999998428,2391.0,1,voip
2840,618.8867924528303,388.09126307406785,-1.0,0.003902336283185845,1696,6.614460000000008,1049632.0,0,voip
1493,170.78571428571428,384.5393205005036,1.0,0.01882784615383151,14,0.2447619999998097,2391.0,1,voip
192,170.78571428571428,384.5393205005036,1.0,0.06751676923078356,14,0.8777180000001863,2391.0,1,voip
2215,170.78571428571428,384.5393205005036,1.0,0.013349076923076904,14,0.17353799999999975,2391.0,1,voip
1697,170.78571428571428,384.5393205005036,1.0,0.03377092307692482,14,0.43902200000002267,2391.0,1,voip
2573,491.375,658.1632421070548,0.8461538461538461,0.0037869999999999853,24,0.08710099999999965,11793.0,1,voip
1858,378.82749909779847,505.0394535628666,-1.0,0.009091224187725623,2771,25.182690999999977,1049731.0,0,voip
1553,69.7,81.7231777268712,1.0,3.354744222222229,10,30.19269800000007,697.0,1,voip
414,170.78571428571428,384.5393205005036,1.0,0.04378500000000084,14,0.5692050000000108,2391.0,1,voip
887,69.7,81.7231777268712,1.0,3.424510333333324,10,30.820592999999924,697.0,1,voip
1549,400.157894736842,595.732533493,0.9,0.017485499999995432,19,0.3147389999999177,7603.0,1,voip
403,170.78571428571428,384.5393205005036,1.0,0.024193692307693918,14,0.3145180000000209,2391.0,1,voip
1708,78.0,-1.0,0.0,-1.0,1,0.010416000000077473,78.0,0,voip
2187,170.78571428571428,384.5393205005036,1.0,0.014174846153849785,14,0.1842730000000472,2391.0,1,voip
126,170.78571428571428,384.5393205005036,1.0,0.014982923076926316,14,0.19477800000004208,2391.0,1,voip
132,122.5,309.5594027154138,1.0,0.20714185714285527,22,4.349978999999962,2695.0,1,voip
2516,307.4,494.7008523677044,0.6666666666666666,0.0008862222222222203,10,0.007975999999999983,3074.0,1,voip
3088,827.0591482649843,324.61572274573103,-1.0,0.002631913970007931,1268,3.3346350000000484,1048711.0,0,voip
772,126.2,240.60747194456687,1.0,0.08872266666666759,10,0.7985040000000083,1262.0,1,voip
1020,400.157894736842,595.732533493,0.9,0.01795216666666653,19,0.3231389999999976,7603.0,1,voip
3019,831.0285035629454,322.76655095212004,-1.0,0.002650070522979425,1263,3.344389000000035,1049589.0,0,voip
