,avg(pkt_len),stddev(pkt_len),fb_ratio,inter_arrival_time,pkt_count,duration,pkt_len,is_tcp,outcome
3291,170.78571428571428,384.5393205005036,1.0,0.014412923076922478,14,0.1873679999999922,2391.0,1,voip
2888,170.78571428571428,384.5393205005036,1.0,0.03245299999999728,14,0.4218889999999647,2391.0,1,voip
4264,400.157894736842,604.5774707418851,0.9,0.04570755555555985,19,0.8227360000000772,7603.0,1,voip
821,69.7,81.7231777268712,1.0,3.349729222222221,10,30.14756299999999,697.0,1,voip
3895,170.78571428571428,384.5393205005036,1.0,0.019992461538462385,14,0.25990200000001096,2391.0,1,voip
1347,848.4207119741101,342.03802761067425,-1.0,0.002807975708502023,1236,3.4678499999999985,1048648.0,0,voip
3781,400.157894736842,595.732533493,0.9,0.0169982222222163,19,0.30596799999989344,7603.0,1,voip
1330,798.2770167427701,323.46834837984363,-1.0,0.002665310738766178,1314,3.4995529999999917,1048936.0,0,voip
2043,1320.0,0.0,-1.0,0.0010073828715365476,795,0.7998620000000187,1049400.0,1,streaming
1305,832.3298969072165,343.73002829473205,-1.0,0.0027440365079364768,1261,3.4574859999999603,1049568.0,0,voip
895,170.78571428571428,384.5393205005036,1.0,0.014431000000001859,14,0.1876030000000241,2391.0,1,voip
2588,30.0,-1.0,-1.0,-1.0,1,0.4102829999999358,30.0,0,game
2132,65.2,9.85900603509299,-1.0,8.68335774999997,5,34.73343099999988,326.0,0,streaming
3893,170.78571428571428,384.5393205005036,1.0,0.01967330769230977,14,0.255753000000027,2391.0,1,voip
3625,170.78571428571428,384.5393205005036,1.0,0.02113946153849611,14,0.2748130000004494,2391.0,1,voip
3549,170.78571428571428,384.5393205005036,1.0,0.021274846153846082,14,0.2765729999999991,2391.0,1,voip
4575,553.661034846885,581.9770312154253,-1.0,0.007684997886952026,1894,14.547701000000188,1048634.0,0,voip
1858,183.0,0.0,-1.0,6.484989999999982,2,6.484989999999982,366.0,0,game
1571,1320.0,0.0,-1.0,0.00012889924433249014,795,0.10234599999999716,1049400.0,1,download
2025,1319.2754716981133,20.428614781398974,-1.0,0.014555091939546582,795,11.556742999999983,1048824.0,1,streaming
1866,100.33333333333331,41.18575805623429,-1.0,54.793742400000006,6,273.96871200000004,602.0,0,game
4029,170.78571428571428,384.5393205005036,1.0,0.047088615384627004,14,0.612152000000151,2391.0,1,voip
4008,170.78571428571428,384.5393205005036,1.0,0.04001084615385235,14,0.5201410000000806,2391.0,1,voip
3277,170.78571428571428,384.5393205005036,1.0,0.015978000000027002,14,0.207714000000351,2391.0,1,voip
1355,183.0,-1.0,0.0,-1.0,1,0.016024999999999956,183.0,0,voip
486,170.78571428571428,384.5393205005036,1.0,0.014495307692311162,14,0.1884390000000451,2391.0,1,voip
3543,170.78571428571428,384.5393205005036,1.0,0.06937223076923041,14,0.9018389999999954,2391.0,1,voip
3362,170.78571428571428,384.5393205005036,1.0,0.0215433076923196,14,0.2800630000001547,2391.0,1,voip
4299,69.7,81.7231777268712,1.0,3.3463924444444424,10,30.117531999999986,697.0,1,voip
